ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
AFG,Afghanistan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,207.11","2,278.49","2,513.14","2,569.34","2,555.97","2,506.35","2,492.65","2,515.55","2,392.42","2,439.68","2,328.76",n/a,n/a,n/a,n/a,n/a,n/a,2019
AFG,Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",631.49,714.7,784.611,754.402,746.922,705.597,617.126,635.789,582.323,586.204,611.268,n/a,n/a,n/a,n/a,n/a,n/a,2019
AFG,Afghanistan,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
ALB,Albania,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","11,016.58","11,327.43","11,506.99","11,643.60","11,874.77","12,173.64","12,597.30","13,039.70","13,577.33","13,881.23","13,436.11","14,172.19","14,843.81","15,495.44","16,118.17","16,734.00","17,374.98",2020
ALB,Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,097.83","4,439.89","4,248.91","4,415.60","4,584.92","3,953.61","4,124.41","4,525.89","5,254.46","5,305.07","5,152.56","5,837.18","6,284.03","6,622.85","7,027.58","7,445.97","7,880.29",2020
ALB,Albania,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","10,959.72","11,050.57","11,189.20","11,261.62","11,445.39","11,616.72","11,732.16","11,644.06","11,546.61","11,412.23","10,655.98","10,824.30","10,848.37","10,854.74","10,773.49","10,626.58","10,482.28",2019
DZA,Algeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,480.72","5,447.60","5,575.65","5,477.06","5,466.33","4,153.32","3,918.94","4,079.65","4,118.74","3,939.54","3,337.32","3,638.33","3,672.46","3,696.74","3,673.80","3,632.98","3,596.42",2019
DZA,Algeria,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
AND,Andorra,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","60,467.09","60,911.09","57,892.72","55,672.92","56,578.79","56,460.54","57,455.31","56,352.20","56,208.17","56,331.79","49,289.42","51,029.42","52,480.31","52,890.94","53,056.69","52,867.86","52,658.96",2020
AND,Andorra,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","49,030.23","51,957.31","45,713.97","45,630.20","46,299.28","38,877.49","39,595.32","40,017.74","42,229.90","40,688.49","36,630.55","40,417.27","42,713.08","44,321.89","45,773.99","46,863.75","47,842.56",2020
AND,Andorra,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
AGO,Angola,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","7,800.96","7,836.71","8,258.38","8,415.10","8,564.00","8,392.09","7,931.22","7,675.54","7,294.01","7,043.65","6,470.21","6,240.63","6,202.10","6,221.83","6,261.50","6,310.89","6,350.98",2017
AGO,Angola,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,641.44","4,716.25","5,245.02","5,436.52","5,625.74","4,354.92","3,676.83","4,300.10","3,465.06","2,805.26","1,881.20","2,200.68","2,276.75","2,338.75","2,422.66","2,526.50","2,602.68",2017
AGO,Angola,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
