ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
AFG,Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",532.072,602.183,661.087,635.635,629.332,594.513,560.601,569.531,544.983,513.108,509.759,533.089,566.416,602.884,644.95,2016
ALB,Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,097.83","4,439.89","4,248.91","4,415.60","4,584.92","3,953.61","4,124.41","4,540.46","5,239.21","5,372.74","5,847.06","6,333.43","6,876.57","7,410.75","7,993.47",2018
DZA,Algeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,480.72","5,453.89","5,574.51","5,477.06","5,466.33","4,153.32","3,918.94","4,012.13","4,080.91","3,980.12","4,039.10","4,032.71","4,055.39","4,047.72","3,768.01",2017
AGO,Angola,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,641.44","4,716.25","5,245.02","5,436.52","5,625.74","4,354.92","3,676.83","4,303.69","3,620.59","3,037.98","2,867.52","2,897.03","2,953.86","3,045.26","3,120.54",2017
ATG,Antigua and Barbuda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,568.91","13,295.36","13,874.19","13,514.89","14,144.12","14,967.36","15,914.68","16,089.36","17,464.34","18,109.10","18,887.45","19,544.78","20,124.74","20,721.91","21,336.80",2011
ARG,Argentina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,412.97","12,787.81","13,889.79","14,488.83","13,208.83","14,895.32","12,772.87","14,588.01","11,658.22","9,887.79","9,730.91","10,462.47","11,138.80","11,835.19","12,177.22",2018
ARM,Armenia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,121.78","3,417.17","3,575.53","3,732.04","3,889.00","3,529.03","3,524.00","3,868.91","4,187.61","4,527.59","4,759.21","5,059.52","5,378.74","5,702.34","6,043.95",2015
ABW,Aruba,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","23,468.60","24,801.81","24,236.81","24,253.14","24,599.30","24,686.16","24,075.52","24,164.36","25,366.48","25,976.24","26,469.45","27,227.77","28,021.82","28,850.49","29,720.46",2017
AUS,Australia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","56,453.66","67,222.19","68,436.08","65,171.23","61,652.51","51,496.63","51,978.95","55,973.64","56,420.20","53,825.16","52,952.27","54,587.90","56,467.99","58,449.93","60,369.33",2018
AUT,Austria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","46,955.17","51,452.29","48,616.90","50,747.38","51,814.42","44,266.42","45,105.31","47,389.37","51,343.51","50,022.61","51,330.46","53,303.75","55,221.18","57,279.41","59,476.96",2018
AZE,Azerbaijan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,880.81","7,242.81","7,545.87","7,926.09","7,939.17","5,300.14","3,897.71","4,212.47","4,722.33","4,689.38","4,718.93","4,795.52","4,941.44","5,132.68","5,350.32",2018
BHS,The Bahamas,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","29,303.26","28,906.97","30,433.05","29,654.01","30,299.73","32,268.96","32,418.00","32,629.17","32,996.80","33,261.32","33,286.02","34,200.15","35,018.79","35,841.55","36,701.69",2018
BHR,Bahrain,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","20,827.72","24,080.43","25,434.45","25,965.31","25,398.32","22,714.28","22,651.91","24,399.25","25,482.74","25,273.15","25,507.49","25,932.82","26,444.25","27,074.86","27,815.13",2016
BGD,Bangladesh,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",807.531,857.496,916.025,"1,030.03","1,163.04","1,303.18","1,458.85","1,605.99","1,749.33","1,905.72","2,067.54","2,239.62","2,426.07","2,628.01","2,846.76",2013
BRB,Barbados,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,203.26","16,599.01","16,371.95","16,556.10","16,572.31","16,589.45","16,947.63","17,423.25","17,758.08","18,069.38","18,486.77","19,156.70","19,913.30","20,703.37","21,521.66",2018
BLR,Belarus,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,023.15","6,472.74","6,938.07","7,977.15","8,316.01","5,941.24","5,022.47","5,757.29","6,283.48","6,603.92","6,744.24","6,823.12","6,986.48","7,159.08","7,289.03",2018
BEL,Belgium,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","44,688.20","47,961.50","44,978.08","46,784.34","47,550.23","40,594.39","41,540.27","43,689.62","46,695.99","45,175.59","45,979.69","47,324.51","48,671.14","50,099.75","51,719.34",2018
BLZ,Belize,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,316.26","4,475.07","4,588.80","4,599.12","4,742.92","4,811.58","4,806.07","4,828.35","4,862.05","4,925.18","4,978.34","5,036.70","5,090.84","5,146.63","5,099.77",2014
BEN,Benin,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,037.38","1,130.08","1,145.88","1,251.25","1,291.76","1,076.91","1,086.97","1,136.14","1,241.77","1,216.63","1,274.28","1,365.72","1,459.19","1,556.99","1,663.30",2017
BTN,Bhutan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,998.77","2,382.11","2,445.20","2,451.85","2,387.79","2,604.81","2,680.46","2,937.51","3,160.06","3,423.05","3,533.20","3,786.92","4,028.31","4,310.65","4,593.28",2015
